Franchise,Conference,Win,Lost,WinPercentage,GamesBehind,ConferenceRecord,DivisionRecord,HomeRecord,RoadRecord,OverTimeRecord,Last10Record,Streak
Philadelphia 76ers,Eastern,19,10,0.655,0,15-4,5-1,12-2,7-8,1-1,6-4,W 1
Brooklyn Nets,Eastern,19,12,0.613,1,10-9,3-2,11-5,8-7,1-2,6-4,W 5
Milwaukee Bucks,Eastern,16,13,0.552,3,12-7,8-1,9-4,7-9,0-0,5-5,L 5
Indiana Pacers,Eastern,15,14,0.517,4,9-8,3-2,7-9,8-5,3-1,4-6,W 1
Boston Celtics,Eastern,14,14,0.5,4.5,10-9,2-4,7-5,7-9,0-0,4-6,L 1
Toronto Raptors,Eastern,14,15,0.483,5,11-7,2-3,6-6,8-9,0-0,7-3,W 2
New York Knicks,Eastern,14,16,0.467,5.5,10-10,1-3,7-6,7-10,0-0,5-5,L 1
Charlotte Hornets,Eastern,13,15,0.464,5.5,9-9,5-1,8-8,5-7,1-1,6-4,L 1
Chicago Bulls,Eastern,12,15,0.444,6,7-7,2-2,5-9,7-6,1-1,5-5,W 2
Atlanta Hawks,Eastern,12,16,0.429,6.5,8-9,1-2,6-9,6-7,1-1,3-7,W 1
Miami Heat,Eastern,12,17,0.414,7,7-11,2-3,7-7,5-10,0-3,5-5,W 1
Orlando Magic,Eastern,11,18,0.379,8,8-10,4-1,6-8,5-10,0-1,3-7,W 1
Washington Wizards,Eastern,9,17,0.346,8.5,5-13,1-6,5-9,4-8,0-0,5-5,W 3
Cleveland Cavaliers,Eastern,10,19,0.345,9,8-9,2-4,7-7,3-12,2-1,1-9,L 8
Detroit Pistons,Eastern,8,20,0.286,10.5,5-12,0-7,6-8,2-12,1-3,4-6,L 1
Utah Jazz,Western,24,5,0.828,0,11-3,3-2,13-2,11-3,0-0,9-1,W 9
Los Angeles Lakers,Western,22,8,0.733,2.5,15-5,0-2,9-5,13-3,3-1,8-2,L 1
LA Clippers,Western,21,9,0.7,3.5,12-6,5-2,10-5,11-4,0-0,6-4,L 1
Portland Trail Blazers,Western,18,10,0.643,5.5,9-6,2-2,8-5,10-5,1-1,8-2,W 6
Phoenix Suns,Western,17,10,0.63,6,9-7,2-2,10-5,7-5,0-3,8-2,L 1
San Antonio Spurs,Western,16,11,0.593,7,11-11,3-5,7-8,9-3,1-1,7-3,W 2
Golden State Warriors,Western,16,13,0.552,8,9-7,3-2,11-6,5-7,1-1,6-4,W 2
Denver Nuggets,Western,15,13,0.536,8.5,11-9,5-1,8-6,7-7,2-2,4-6,L 2
Memphis Grizzlies,Western,12,12,0.5,9.5,6-7,2-4,5-8,7-4,1-1,4-6,W 1
Dallas Mavericks,Western,13,15,0.464,10.5,7-10,3-1,6-8,7-7,1-1,5-5,L 1
New Orleans Pelicans,Western,12,16,0.429,11.5,7-11,4-2,7-6,5-10,0-1,5-5,L 1
Sacramento Kings,Western,12,16,0.429,11.5,6-10,2-4,7-11,5-5,1-1,4-6,L 5
Houston Rockets,Western,11,17,0.393,12.5,8-10,4-4,5-6,6-11,0-1,2-8,L 7
Oklahoma City Thunder,Western,11,17,0.393,12.5,5-14,2-5,4-9,7-8,1-2,3-7,L 2
Minnesota Timberwolves,Western,7,22,0.241,17,4-14,2-4,4-10,3-12,0-2,2-8,L 2
